"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 26 08:12:08 ICT 2023","Wed Apr 26 08:12:18 ICT 2023","9797","","test_1_positive","TestPositiveScenarios","","","Thay đổi mật khẩu",""
"passed","Wed Apr 26 08:09:41 ICT 2023","Wed Apr 26 08:11:37 ICT 2023","115871","","test_1_positive","TestPositiveScenarios","","","Đăng ký",""
"passed","Wed Apr 26 08:13:08 ICT 2023","Wed Apr 26 08:13:11 ICT 2023","3068","","test_2_negative","TestNegativeScenarios","","","Đăng nhập với tài khoản, mật khẩu không đúng",""
"passed","Wed Apr 26 08:13:43 ICT 2023","Wed Apr 26 08:13:47 ICT 2023","4530","","test_2_negative","TestNegativeScenarios","","","Thay đổi mật khẩu tiếng Việt, ký tự không hợp lệ",""
"passed","Wed Apr 26 08:08:54 ICT 2023","Wed Apr 26 08:09:09 ICT 2023","15077","","test_1_positive","TestPositiveScenarios","","","Đăng ký",""
"passed","Wed Apr 26 08:14:09 ICT 2023","Wed Apr 26 08:14:17 ICT 2023","8064","","test_2_negative","TestNegativeScenarios","","","Đăng ký tài khoản với các giá trị không hợp lệ",""
"passed","Wed Apr 26 08:13:56 ICT 2023","Wed Apr 26 08:14:00 ICT 2023","4373","","test_2_negative","TestNegativeScenarios","","","Thay đổi mật khẩu tiếng Việt, ký tự không hợp lệ",""
"passed","Wed Apr 26 08:14:43 ICT 2023","Wed Apr 26 08:14:50 ICT 2023","7501","","test_2_negative","TestNegativeScenarios","","","Đăng ký tài khoản với các giá trị không hợp lệ",""
"passed","Wed Apr 26 08:11:47 ICT 2023","Wed Apr 26 08:11:58 ICT 2023","11052","","test_1_positive","TestPositiveScenarios","","","Thay đổi mật khẩu",""
"passed","Wed Apr 26 08:12:28 ICT 2023","Wed Apr 26 08:12:44 ICT 2023","15485","","test_1_positive","TestPositiveScenarios","","","Thay đổi mật khẩu",""
"passed","Wed Apr 26 08:12:55 ICT 2023","Wed Apr 26 08:12:59 ICT 2023","4034","","test_1_positive","TestPositiveScenarios","","","Đăng nhập",""
"passed","Wed Apr 26 08:13:20 ICT 2023","Wed Apr 26 08:13:22 ICT 2023","2582","","test_2_negative","TestNegativeScenarios","","","Đăng nhập với tài khoản, mật khẩu không đúng",""
"passed","Wed Apr 26 08:13:31 ICT 2023","Wed Apr 26 08:13:34 ICT 2023","2979","","test_2_negative","TestNegativeScenarios","","","Thay đổi mật khẩu với số điện thoại chưa đăng ký",""
"passed","Wed Apr 26 08:09:18 ICT 2023","Wed Apr 26 08:09:31 ICT 2023","13318","","test_1_positive","TestPositiveScenarios","","","Đăng ký",""
"passed","Wed Apr 26 08:14:27 ICT 2023","Wed Apr 26 08:14:34 ICT 2023","6987","","test_2_negative","TestNegativeScenarios","","","Đăng ký tài khoản với các giá trị không hợp lệ",""
